TopicType,Title,LiveUrl,PageViews,PVs MoM,Visitors,OrganicSearchReferrals,PrimaryKPIScoreRank,PrimaryKPIScoreRank Change,ClickThroughRate,CopyTryScrollRate,BounceRate,ExitRate,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,MedianMaxScroll,DwellRate,CSATHelpfulRate,CSATResponseRate,CSATHelpfulRatings,CSATTotalResponses,RatingVerbatims,GitHubOpenIssueCount,GitHubTotalIssueCount,GitHubNewIssueCount,GitHubOpenIssuesLink,Freshness,LastCommitDateTime,LinesChanged,LastReviewed,MSAuthor,AcrolinxScore,AcrolinxClarity,PrimaryKPIScore,TopicKey
conceptual,Azure network security groups overview,https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview,"27,413",-15.63%,"18,874","15,155",22.23515716,0.785335133,18.75%,83.45%,8.81%,41.63%,55.28%,13.76%,22.62%,7.51%,0.21%,6%,0%,82%,34,5.00%,80.00%,0.03%,4,5,0,3,6,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+9cc40617-b36e-cc24-0263-5e820d05382d+in:body,> 365 days,2022-04-25,2,2020-09-08,mbender,,,0.933923168,351ab9f7-06ee-05ae-ac94-4c3a814bdb51
conceptual,Azure virtual network traffic routing,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview,"22,563",-15.76%,"13,406","11,651",30.24658694,2.182516388,19.00%,88.51%,9.32%,45.53%,51.64%,14.27%,29.75%,3.68%,0.44%,5%,0%,88%,24,2.76%,50.00%,0.01%,1,2,0,6,36,2,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+38bd69ac-a1b5-a401-184d-37b55188a7c4+in:body,> 365 days,2022-04-29,2,2021-04-14,mbender,,,0.981921702,219e6e69-937b-343a-62c7-85a62db15511
overview,Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-overview,"17,687",-15.48%,"12,345","10,059",12.90322581,-0.140252454,28.24%,79.50%,10.14%,40.92%,56.87%,10.01%,28.51%,4.33%,0.20%,7%,0%,78%,29,10.67%,100.00%,0.07%,9,9,0,1,10,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+f03f79a2-923f-3e1a-5e8f-8ce1f5913a56+in:body,> 365 days,2022-04-19,1,2020-12-03,mbender,,,0.975958105,59cd73cd-da34-458b-7e1c-5fc5a8f9a782
conceptual,Azure Virtual Network peering,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview,"17,583",-19.24%,"12,133","9,784",23.8120436,-2.528072213,21.09%,83.90%,10.57%,40.74%,55.64%,11.79%,26.50%,5.93%,0.32%,5%,0%,83%,38,10.28%,0.00%,0.01%,0,1,0,0,19,1,,> 365 days,2022-04-12,2,2019-11-15,mbender,87.00,0.00,0.944306177,0ad10244-d596-de5e-421a-a6bd0e42b5a0
conceptual,Azure service tags overview,https://docs.microsoft.com/en-us/azure/virtual-network/service-tags-overview,"17,031",-10.24%,"10,432","6,243",45.11588528,-4.514885587,21.90%,90.67%,8.35%,45.36%,36.66%,16.87%,44.02%,2.20%,0.43%,10%,0%,90%,51,3.61%,100.00%,0.01%,1,1,0,12,47,6,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+08217244-82bb-13b5-46f7-454801d8f865+in:body,91-365 days,2022-04-29,2,2021-10-11,mbender,92.00,0.00,1.04224688,e21fcec1-ad0f-386f-c2c3-eea3a2c2a526
conceptual,Azure virtual network service endpoints,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-service-endpoints-overview,"15,114",-16.14%,"9,855","6,702",23.18499312,-0.23050919,22.58%,82.18%,10.75%,39.41%,44.34%,18.61%,30.08%,6.78%,0.18%,6%,0%,81%,14,5.00%,100.00%,0.01%,1,1,0,0,41,,,> 365 days,2022-04-21,8,2019-11-08,sumi,,,0.940183414,3d21b718-3060-d5cd-12ff-093a4ec028ff
how-to,Name resolution for resources in Azure virtual networks,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-name-resolution-for-vms-and-role-instances,"12,864",-19.19%,"8,013","5,607",51.09904779,1.967600797,23.84%,90.28%,7.66%,41.31%,43.59%,13.85%,39.15%,3.23%,0.19%,7%,0%,90%,48,4.11%,0.00%,0.00%,0,0,0,7,37,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+a7b1b215-0434-145b-cd11-95d0f32bc015+in:body,0-90 days,,,2022-03-11,rohink,,,1.064552256,53846f64-6633-fe6b-9057-c9149d1b06fd
conceptual,Public IP addresses in Azure - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-addresses,"11,617",-17.25%,"8,745","8,119",38.16276855,-4.37827167,20.32%,88.06%,7.89%,42.38%,69.89%,8.20%,17.90%,3.91%,0.10%,3%,0%,88%,37,6.43%,0.00%,0.00%,0,0,0,0,2,,,91-365 days,2022-01-20,2,2021-12-27,allensu,,,1.00491809,ed917613-e727-ce05-1c6b-cf1e8bb3bc43
conceptual,Azure Virtual Network FAQ,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-faq,"11,189",-15.57%,"8,218","6,174",30.74399407,-0.534229377,15.82%,90.09%,7.48%,50.51%,55.18%,13.87%,28.02%,2.67%,0.18%,9%,0%,90%,12,1.82%,100.00%,0.01%,1,1,0,2,26,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+07cec477-f584-400f-889c-9a5403f34bad+in:body,> 365 days,2022-04-25,2,2020-06-26,mbender,,,0.984334604,ec013faf-7475-a5e8-2247-69c67de8b3fb
conceptual,Network security group - how it works,https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works,"7,968",-15.63%,"6,047","4,000",30.72811938,0.512425811,20.72%,86.34%,8.63%,44.34%,50.20%,13.49%,33.53%,2.64%,0.14%,4%,0%,86%,40,11.67%,0.00%,0.00%,0,0,0,2,5,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+cd190c21-5b50-87ba-37dd-0b0c017ec6fb+in:body,> 365 days,2022-04-12,4,2020-08-24,mbender,76.00,0.00,0.984261774,d9af1ba8-ab81-2568-d12a-247481ac3279
