"Title","MSAuthor","Freshness","LastReviewed","PageViews","GitHubOpenIssueCount","LiveUrl"
"Route network traffic - Azure CLI","mbender","0-90 days","2022-04-20","143","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-cli"
"Connect virtual networks with VNet peering - tutorial - Azure portal","mbender","0-90 days","2022-04-14","4,727","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-portal"
"Quickstart: Create a virtual network - Azure portal - Azure Virtual Network","mbender","0-90 days","2022-04-13","6,985","1","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-portal"
"Create a virtual network - quickstart - Azure PowerShell - Azure Virtual Network","mbender","0-90 days","2022-04-13","1,647","0","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-powershell"
"Create a virtual network - quickstart - Azure CLI - Azure Virtual Network","mbender","0-90 days","2022-04-13","1,201","0","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-cli"
"Azure Policy Regulatory Compliance controls for Azure Virtual Network","mbender","0-90 days","2022-03-10","187","","https://docs.microsoft.com/en-us/azure/virtual-network/security-controls-policy"
"Azure Policy Regulatory Compliance controls for Azure networking services","kumud","0-90 days","2022-03-10","13","","https://docs.microsoft.com/en-us/azure/networking/security-controls-policy"
"Azure Resource Graph sample queries for Azure networking","kumud","0-90 days","2022-03-08","289","","https://docs.microsoft.com/en-us/azure/networking/fundamentals/resource-graph-samples"
"Azure CLI script sample - Configure IPv6 frontend - Standard Load Balancer","mbender","0-90 days","2022-02-03","9","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-ipv6-dual-stack-standard-load-balancer"
"Route traffic via network virtual appliance - Azure CLI script sample","mbender","0-90 days","2022-02-03","78","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-route-traffic-through-nva"
"Peer two virtual networks - Azure CLI script sample","mbender","0-90 days","2022-02-03","47","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-peer-two-virtual-networks"
"Azure networking services overview","kumud","0-90 days","2022-02-03","4,733","","https://docs.microsoft.com/en-us/azure/networking/fundamentals/networking-overview"
"Filter VM network traffic - Azure CLI script sample","mbender","0-90 days","2022-02-03","30","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-filter-network-traffic"
"Azure CLI script sample - Configure IPv6 frontend","mbender","0-90 days","2022-02-03","22","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-ipv6-dual-stack"
